catiUtilizatoriSuntMedici,2019-05-06 13:40:36.168
catiUtilizatoriSuntMedici,2019-05-06 13:41:01.53
catiUtilizatoriSuntMedici,2019-05-06 13:41:50.826
catiUtilizatoriSuntMedici,2019-05-06 13:42:09.771
catiUtilizatoriSuntMedici,2019-05-06 13:44:43.071
catiUtilizatoriSuntMedici,2019-05-06 13:46:34.468
afiseazaUtilizatoriSortati,2019-05-06 13:46:34.499
catiUtilizatoriSuntMedici,2019-05-09 21:33:19.293
catiUtilizatoriSuntMedici,2019-05-09 21:34:18.949
catiUtilizatoriSuntMedici,2019-05-09 21:35:15.493
catiUtilizatoriSuntMedici,2019-05-09 21:35:48.34
catiUtilizatoriSuntMedici,2019-05-09 21:36:10.686
catiUtilizatoriSuntMedici,2019-05-09 21:36:32.329
catiUtilizatoriSuntMedici,2019-05-09 21:36:55.464
catiUtilizatoriSuntMedici,2019-05-09 21:37:15.682
catiUtilizatoriSuntMedici,2019-05-09 21:39:17.091
catiUtilizatoriSuntMedici,2019-05-09 21:39:29.74
catiUtilizatoriSuntMedici,2019-05-09 21:39:48.145
catiUtilizatoriSuntMedici,2019-05-09 21:41:10.306
catiUtilizatoriSuntPacientiCopil,2019-05-09 21:43:51.228
catiUtilizatoriSuntPacientCopil,2019-05-09 21:45:18.341
catiUtilizatoriSuntPacientiBatran,2019-05-09 21:45:31.951
catiUtilizatoriSuntPacientiBatran,2019-05-09 21:54:36.621
afiseazaProgramariPacient,2019-05-09 21:54:58.656
afiseazaProgramariPacient,2019-05-09 21:56:30.271
afiseazaProgramariPacient,2019-05-09 21:59:56.744
afiseazaProgramariPacient,2019-05-09 22:00:42.198
afiseazaProgramariPacient,2019-05-09 22:02:29.998
afiseazaProgramariPacient,2019-05-09 22:03:07.353
afiseazaProgramariPacient,2019-05-09 23:11:30.198
afiseazaProgramariPacient,2019-05-09 23:12:22.927
afiseazaProgramariPacient,2019-05-09 23:14:54.288
afiseazaProgramariPacient,2019-05-09 23:15:07.5
afiseazaProgramariPacient,2019-05-09 23:15:44.865
catiUtilizatoriSuntMedici,2019-05-10 00:19:00.624
catiUtilizatoriSuntMedici,2019-05-10 00:19:29.272
catiUtilizatoriSuntPacientiBatran,2019-05-10 00:19:29.282
catiUtilizatoriSuntMedici,2019-05-10 00:20:14.925
catiUtilizatoriSuntPacientiBatran,2019-05-10 00:20:14.937
afiseazaProgramariPacient,2019-05-10 00:20:14.942
catiUtilizatoriSuntMedici,2019-05-10 00:20:34.911
catiUtilizatoriSuntPacientiBatran,2019-05-10 00:20:34.921
catiUtilizatoriSuntPacientiCopil,2019-05-10 00:20:34.947
afiseazaProgramariPacient,2019-05-10 00:20:34.953
catiUtilizatoriSuntMedici,2019-05-10 00:21:38.135
catiUtilizatoriSuntPacientiBatran,2019-05-10 00:21:38.146
catiUtilizatoriSuntPacientCopil,2019-05-10 00:21:38.15
afiseazaProgramariPacient,2019-05-10 00:21:38.155
catiUtilizatoriSuntMedici,2019-05-10 00:22:03.429
catiUtilizatoriSuntPacientiBatran,2019-05-10 00:22:03.44
catiUtilizatoriSuntPacientCopil,2019-05-10 00:22:03.444
afiseazaPacientDupaNume,2019-05-10 00:22:03.449
afiseazaProgramariPacient,2019-05-10 00:22:03.504
catiUtilizatoriSuntMedici,2019-05-10 00:22:32.641
catiUtilizatoriSuntPacientiBatran,2019-05-10 00:22:32.652
catiUtilizatoriSuntPacientCopil,2019-05-10 00:22:32.657
afiseazaPacientDupaNume,2019-05-10 00:22:32.725
afiseazaMedicDupaNume,2019-05-10 00:22:32.759
afiseazaProgramariPacient,2019-05-10 00:22:32.787
catiUtilizatoriSuntMedici,2019-05-10 00:27:33.666
catiUtilizatoriSuntPacientiBatran,2019-05-10 00:27:33.682
catiUtilizatoriSuntPacientCopil,2019-05-10 00:27:33.689
afiseazaPacientDupaNume,2019-05-10 00:27:33.695
afiseazaMedicDupaNume,2019-05-10 00:27:33.729
afiseazaProgramariPacient,2019-05-10 00:27:33.769
afiseazaUtilizatoriSortati,2019-05-10 00:27:33.78
catiUtilizatoriSuntMedici,2019-05-11 18:15:23.809
catiUtilizatoriSuntPacientiBatran,2019-05-11 18:15:24.259
catiUtilizatoriSuntPacientCopil,2019-05-11 18:15:24.285
afiseazaPacientDupaNume,2019-05-11 18:15:24.294
afiseazaMedicDupaNume,2019-05-11 18:15:24.327
afiseazaProgramariPacient,2019-05-11 18:15:24.392
afiseazaUtilizatoriSortati,2019-05-11 18:15:24.467
pacientiCopii,2019-05-15 17:03:36.818
pacientiCopii,2019-05-15 17:03:36.956
pacientiCopii,2019-05-15 17:03:37.092
pacientiCopii,2019-05-15 17:03:37.219
pacientiCopii,2019-05-15 17:03:39.472
pacientiCopii,2019-05-15 17:03:42.908
pacientiCopii,2019-05-15 17:03:43.396
pacientiCopii,2019-05-15 17:03:43.888
pacientiCopii,2019-05-15 17:04:33.595
pacientiBatrani,2019-05-15 17:09:10.391
pacientiBatrani,2019-06-01 16:37:40.507
pacientiBatrani,2019-06-01 17:32:42.624
pacientiBatrani,2019-06-01 19:26:12.392
pacientiBatrani,2019-06-02 12:05:35.793
pacientiCopii,2019-06-02 12:13:37.745
pacientiBatrani,2019-06-02 12:13:40.257
pacientiCopii,2019-06-02 12:13:41.452
medici,2019-06-02 12:22:20.441
pacientiCopii,2019-06-02 12:22:22.937
pacientiBatrani,2019-06-02 12:22:23.685
pacientiCopii,2019-06-02 12:22:24.584
medici,2019-06-02 12:22:24.848
pacientiBatrani,2019-06-02 12:22:25.22
pacientiBatrani,2019-06-02 12:31:07.26
